City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,okhotsk,59.3833,143.3,277.11,76,16,0.66,RU,1696444822
84,rio grande,-32.035,-52.0986,293.21,87,100,8.29,BR,1696444569
85,stanley,54.868,-1.6985,287.16,83,75,6.17,GB,1696444699
86,yangjiang,21.85,111.9667,299.21,87,62,1.99,CN,1696444822
87,alaghsas,17.0187,8.0168,307.09,22,0,7.2,NE,1696444704
88,nadym,65.5333,72.5167,276.18,95,100,0.32,RU,1696444822
89,port-cartier,50.0334,-66.8654,284.27,74,100,3.89,CA,1696444724
90,vila franca do campo,37.7167,-25.4333,296.38,89,100,4.97,PT,1696444822
91,al mindak,20.1588,41.2834,298.93,23,0,4.77,SA,1696444822
92,st. john's,47.5649,-52.7093,282.47,78,75,9.26,CA,1696444628
93,pangobilian,8.8011,117.8594,299.62,84,100,1.12,PH,1696444823
94,khandyga,62.6667,135.6,272.82,98,100,1.63,RU,1696444823
95,sungai penuh,-2.0833,101.3833,292.11,95,78,0.25,ID,1696444823
96,constantia,44.1833,28.65,290.76,70,21,5.21,RO,1696444823
97,fomboni,-12.28,43.7425,299.25,79,1,2.93,KM,1696444823
98,puerto aysen,-45.4,-72.7,283.03,91,100,2.43,CL,1696444823
99,chonchi,-42.6128,-73.8092,285.71,80,88,0.17,CL,1696444823
100,tres arroyos,-38.3739,-60.2798,287.98,39,1,7.98,AR,1696444823
101,poronaysk,49.2167,143.1167,282.75,100,100,6.34,RU,1696444823
102,mata-utu,-13.2816,-176.1745,299.92,83,99,6.08,WF,1696444823
103,weno,7.4515,151.8468,300.12,89,40,1.54,FM,1696444823
104,lucapa,-8.4192,20.7447,300.86,30,100,1.51,AO,1696444824
105,antofagasta,-23.65,-70.4,290.75,71,100,5.0,CL,1696444824
106,saipan,15.1355,145.701,300.54,89,40,6.17,MP,1696444824
107,kirakira,-10.4544,161.9205,298.55,90,100,4.25,SB,1696444824
108,deqen,29.9618,90.7188,282.43,90,100,2.0,CN,1696444824
109,sandnessjoen,66.0217,12.6316,278.44,75,75,4.63,NO,1696444824
110,harper,4.375,-7.7169,298.12,80,82,3.31,LR,1696444824
111,gebeit,21.0667,36.3167,302.09,31,0,1.73,SD,1696444824
112,kangding,30.0513,101.9603,285.62,98,93,1.64,CN,1696444825
113,aasiaat,68.7098,-52.8699,269.36,73,74,3.58,GL,1696444825
114,ta`u,-14.2336,-169.5144,299.97,81,33,6.18,AS,1696444825
115,altai,46.3722,96.2583,278.65,46,79,4.02,MN,1696444825
116,yeniseysk,58.4497,92.1703,281.45,84,100,4.02,RU,1696444825
117,fort mcmurray,56.7268,-111.381,283.92,81,75,7.2,CA,1696444740
118,sain alto,23.5833,-103.25,297.07,40,100,1.85,MX,1696444825
119,thunder bay,48.4001,-89.3168,295.14,56,75,6.69,CA,1696444825
120,as samawah,31.332,45.2944,302.24,35,90,7.29,IQ,1696444825
121,ouadda,8.0777,22.4007,294.53,95,68,1.61,CF,1696444825
122,labrador city,52.9463,-66.9114,281.1,66,100,4.63,CA,1696444826
123,hamilton,39.1834,-84.5333,303.93,45,0,5.66,US,1696444065
124,canutama,-6.5339,-64.3831,311.15,30,97,0.75,BR,1696444826
125,olovyannaya,50.95,115.5667,275.95,86,38,2.34,RU,1696444826
126,qaqortoq,60.7167,-46.0333,276.95,71,100,1.01,GL,1696444826
127,villa gesell,-37.2639,-56.973,284.85,71,44,11.91,AR,1696444826
128,puerto ayora,-0.7393,-90.3518,300.13,92,80,2.24,EC,1696444826
129,samokov,42.3333,23.55,287.85,59,35,1.04,BG,1696444826
130,mount gambier,-37.8333,140.7667,280.32,85,77,2.85,AU,1696444826
131,bethel,41.3712,-73.414,303.1,61,0,3.09,US,1696444827
132,dudinka,69.4058,86.1778,269.08,96,91,3.58,RU,1696444659
133,ancud,-41.8697,-73.8203,283.71,74,30,3.37,CL,1696444827
134,veinticinco de mayo,-35.4323,-60.1727,292.03,36,6,5.81,AR,1696444604
135,petropavlovsk-kamchatsky,53.0452,158.6483,281.2,79,40,4.02,RU,1696444827
136,tazovsky,67.4667,78.7,272.77,85,100,4.09,RU,1696444827
137,thompson,55.7435,-97.8558,282.24,76,100,3.09,CA,1696444827
138,odda,60.0691,6.5457,283.58,98,100,1.43,NO,1696444827
